Date,Full_Text,Abridged
2026-01-05,"- Added approximately 20 Sisense reports to the report inventory.   - Used Visual Studio Code to identify tables each report pulls data from, including Steel Warehouse and Lock Joint Tube data sources.   - Utilized GitHub Copilot to generate report descriptions.   - Identified report users by analyzing built-in report metrics in the workspace and Sisense dashboard usage data. - Attempted to gain access to Healthy Merits and Meritain Insurance data; was unsuccessful due to invalid access code provided by Molly. - Completed the Gallup survey for employee satisfaction. - Reviewed the PFEP report plan for every part report to check readiness; awaiting email from Jeremy Stein. - Fixed the SQL file for the South Bend end dates report related to MC/MB/MD for Jeremy Stein. - Worked on developing the work log program at the end of the day.","Sisense reports, Visual Studio Code, Steel Warehouse, Lock Joint Tube, GitHub Copilot, report metrics, Healthy Merits, Meritain Insurance, PFEP report, Jeremy Stein, SQL file, work log program"
2026-01-06,"- Finished the master report and the report inventory. - Fixed an error in one of the Sisense reports that was not refreshing due to gateway issues after being taken over yesterday. - Sent Jeremy Stein and David Werling the downloaded PFEP (Plan For Every Part) report, formatted as an Excel sheet. - Updated the action logs to include a complete list, not limited to just the last month. - Created a Python program that analyzes the original master report inventory to identify similar or identical reports.   - The program takes a user prompt to find or create reports.   - It selects the top five reports based on description or team.   - It filters results by data source and location (e.g., Still Warehouse or Lock Joint Tube).   - It explains the reasoning for each selection.   - It writes the output to a text file. - Imported the work logs program. - Cloned the GoodUp repository to model the Duck database system after it.","master report, Sisense reports, gateway issues, PFEP report, action logs, Python program, report analysis, work logs program, Github repository, Duck database system"
2026-01-07,"- Investigated issues with Plex tables/pipeline connectivity in the Yosef workspace and Plex Copy data activities in the Sisense workspace.   - Attempted to fix by changing connection strings, creating new gateways, and trying different passwords (including Plex login), but the connections still failed.   - Noted the connections worked a couple of weeks ago; suspected a recent change in credentials or Fabric rules as the connecition on Power BI Desktop/Excel on SWAP10 is still successful.  - Identified a blocker: unable to pull Plex data into Fabric/Power BI2 Fabric for Lakehouse use (table modifications and notebook-created tables).   - Planned a workaround using Excel as an intermediate source:     - Connected Plex to an Excel file on the SWAP10 computer.     - Planned to save the Excel file to the Data Analytics SharePoint folder under Excel source files.     - Documented that the file will require manual refresh in Excel Desktop and Fabric will read from SharePoint (not live unless refreshed). - Met with Alex and Mark to review JIRA usage and upcoming Fabric/Invex projects.   - Agreed to differentiate between simple one-day tickets vs. ongoing projects.   - Planned to move projects to the Data and Analytics project page and organize items as stories/tasks/epics as appropriate. - Reviewed help desk training materials.   - Watched help desk videos.   - Created a help desk Word document in the help desk tutorials folder for onbaording tickets.   - Attempted to catch up on Byrquest videos (Abby Cook) and noted remaining backlog. - Updated/created documentation (help desk onboarding Word document) and captured next steps for the Plex-to-Fabric workaround.","Plex tables pipeline connectivity, Yosef workspace, Side Sense workspace, Power BI Desktop, SWAP10, ODBC DSN DS/DSL, Fabric Power BI2 Fabric Lakehouse, Plex-to-Excel SharePoint workaround, JIRA Data and Analytics project, Alex, Mark, Helpdesk onboarding Word document, Byrequest videos Abby Cook"
2026-01-08,- Worked help desk coverage for the majority of the day (Thursday help desk day). - Met with Rachel to learn additional help desk processes and context. - Reviewed with Rachel the folder locations for Cobalt programs and report files. - Discussed feasibility of converting Cobol-produced reports and byrequest for Power BI. - Continued refining the temporary integration approach for Plex connectivity:   - Connected to the Plex system via ODBC from Power BI.   - Pulled data into Excel on SWAP10.   - Linked the output to SharePoint.   - Connected SharePoint data to a Fabric dataflow.,"Helpdesk, Rachel, Cobalt programs, report files, byrequest, temporary integration approach, Plex connectivity, ODBC, Power BI, Excel SWAP10, SharePoint, Fabric dataflow"
2026-01-09,"- Updated the Plex notebook with comments documenting the temporary Plex connection (running through SWAP 10) via an Excel sheet linked to a SharePoint file.   - Noted the current limitation that the Excel file requires manual refresh.   - Documented an interim approach using multiple Excel queries (one per sheet) and using “Refresh All.”   - Outlined a more feasible setup: move the dataflow into a Fabric pipeline and schedule pipeline refreshes so the Excel/SharePoint-linked data stays updated. - Completed Maritain Health Insurance setup tasks.   - Obtained member ID.   - Set up Healthy Merits (website account, passwords, plans/courses, and mobile app).   - Installed and configured the Teladoc app, including syncing and goal setup. - Left early (Friday) after completing the above tasks.","Plex (Fabric) notebook, Plex connection, SWAP 10, Excel queries, SharePoint-linked Excel, manual refresh, Refresh All, Fabric pipeline, pipeline refresh scheduling, Maritain Health Insurance, Healthy Merits, Teladoc app"
2026-01-12,"- Completed the Work Log program and the Report Master program.   - Updated query tools for both with proper instructions, reordered Markdown formatting cells, and aligned code/cell structure within each dashboard. - Updated the Plex notebook with additional Plex data context and notes on the current workaround.   - Noted the pipeline is not currently running; temporary solution uses an Excel file on SharePoint that requires manual refresh.   - Documented that Power BI on SWAP10 connects cleanly when no notebook transformations are required (or when transformations can be handled in Power Query), enabling direct visuals and a semantic model refresh. - Tested Invex pipelines to confirm expected functionality. - Set up Meritain ID cards. - Worked with DeAndre to close completed tickets and aligned on using the Data Analytics space for future projects. - Completed additional Invex learning and reviewed open items for follow-up.","Work Log program, Report Master program, query tools instructions, Markdown formatting cells, Plex notebook, SharePoint Excel workaround, Power BI, SWAP10, Power Query, semantic model refresh, Invex pipelines, Meritain ID cards, DeAndre, Data Analytics space"
2026-01-13,"- Reviewed Invex API instructions and clarified that the Excel/Power BI files with the query connections should be shareable with any user and refreshable with new data.- Identified a duplicate user login issue on Invex (and incorrect title on the new account) and notified Sara to correct it.- Confirmed with Sara that the issue only existed in the TEST environment due to prior transactions; TRN/DEV/LIV environments are corrected.- Reviewed the Power BI Invex API setup, including the API login, dataflow, notebook, and pipeline.- Reviewed customer mapping from D365 to the Invex API.- Attempted to link an existing HSA account to a newly created online account; was unsuccessful and emailed Brianne for assistance.- Noted that all our current INVEX API connections are using the TEST environment and that production work will likely require TRN/DEV/LIV environments.- Confirmed the pipeline cannot be copied as-is; parameters must be updated to point to the correct (non-test) database/environment.","Invex API, Excel output shareable/refreshable, duplicate user login, TEST/TRN/DEV/LIV environments, Power BI dataflow notebook pipeline, D365 customer mapping, NBEC API, account linking, Sara, Brianne"
2026-01-14,"- Reset the refresh for a report in the Accounting and Finance workspace that had stopped running. - Clarified the status of my Bank of America HSA account (pending activation effective today).   - Called Bank of America HSA and confirmed I had two HSA accounts; deleted the old account.   - Confirmed timelines: card and contribution updates (employee/employer) take a few days; bank linking and reimbursements also take a few days end-to-end.   - Noted documentation guidance for reimbursements: documents are not strictly required, but recommended; a standard receipt may be insufficient (need an itemized receipt showing my name). - Fixed and cleaned up yesterday’s work log text and CSV. - Revisited the ticket for OTD percentage calculations (O2D/OTD %).   - Determined the metric should be calculated only for orders flagged as closed (system-closed or manually closed).   - Met with David to identify the correct source fields in the order detail table:     - Used the ""complete"" column to identify manually completed orders.     - Used ""date closed"" to identify system-closed orders.   - Built and tested the query in Toad; results matched expected data.   - Continued editing/copying data activity in the pipeline feeding the Power BI report.   - Identified issues working with required columns in Power BI; plan to troubleshoot and confirm closed-order logic tomorrow. - Documented updates in the work log and saved the corrected CSV.","Accounting and Finance workspace report refresh, Bank of America HSA account activation, HSA reimbursements documentation, work log CSV cleanup, OTD percentage calculations O2D/OTD %, closed-order logic complete column date closed, David, Toad query, pipeline to Power BI report, required columns in Power BI"
2026-01-15,- Handled helpdesk tickets throughout the day.,Helpdesk tickets
2026-01-16,"- Noted requirement to create Word documents for tickets completed on January 15. - Met with Alex for a general check-in.   - Agreed to hold off on Plex connections (not urgent); meeting scheduled for Tuesday.   - Discussed bringing me onto the OHIO Prod Stat project to show stats via ScreenCloud.   - Reviewed the Power BI file he sent; noted use of a parameter table in the Matrix visual Values section to let users select fields (similar to a filter, but for field selection). - Reset OneDrive after it stopped syncing; resolved duplicated files by selecting and properly renaming copies. - Continued working on the ticket to change OSRs from Koponacki to other OSRs. - Reviewed benefits/Express Scripts and found preferred pharmacies are not in-network. - Investigated the OTD ticket and reviewed new rows/fields; identified and fixed a query issue.   - Found a CTE still referenced an old table name after a new query was moved into another query for a join, preventing correct column loading.   - Updated the reference so the table loads the correct columns; positioned the ticket for continued fixes next week (including identifying closed items/orders closed manually vs. by the system). - Captured follow-ups for next week (Word documents for 1/15 tickets and continued OTD ticket fixes).","Word documents for tickets, Alex check-in, Plex connections, OHIO Prod Stat, ScreenCloud, Power BI parameter table Matrix visual, OneDrive sync, OSR reassignment from Koponacki, OTD ticket, CTE table reference issue, Express Scripts preferred pharmacies"
2026-01-19,"- Created two Word documents to document help desk ticket resolutions for future reference.   - Documented an automated Environment Reports error for Karen Miller (Accounts Receivable, works from home), noting that irrelevant errors can be filtered by checking the last two characters of the file name (and matching description); flagged that it needs confirmation whether this applies only to Karen Miller (“KM”) or other AR team members.   - Documented how to stop receiving unnecessary ByRequest reports as printed output and switch to email by:     - Identifying the customer number.     - Querying the Customer Master table to verify the value in the CUSP_FLAGS column before changes.     - Including the SQL UPDATE statement to apply the change. - Met briefly with Jeremy.   - Learned Dave Orling is currently unable to run the PFP and plans to run it soon.   - Clarified that Thursday’s OSR update ticket should update OSR references for profiling, shipping, and any other areas where the old OSR (no longer employed) is referenced. - Coordinated with MA regarding a prescription issue after Kroger Pharmacy was confirmed out-of-network for Express Scripts; determined next step is to contact Express Scripts to locate in-network pharmacies and confirm pricing. - Continued work on Thursday’s OSR update ticket by completing Jeremy’s customer master list and investigating Rachel’s proposal to update the MC_SUMMARY table.   - Found MC_SUMMARY changes were not persisting; confirmed with David that MC_SUMMARY is rebuilt nightly from JOB_MASTER tables across schemas, so updates to MC_SUMMARY are not effective long-term.   - Captured proposed approaches for correcting MC/OSR-related data:     - David: Identify affected rows in MC_SUMMARY (customer numbers from the PDF), match them to the appropriate JOB_MASTER tables using MC number, and ensure they are open jobs (DATE_CLOSED = 1/1/1900).     - Rachel: Identify rows in JOB_MASTER tables tied to updated CUSTOMER_MASTER rows, update those records across relevant JOB_MASTER schemas, and ensure they are open jobs (DATE_CLOSED = 1/1/1900). - Updated/retained help desk documentation for the above ticket work and findings.","Help Desk ticket documentation, Environment Reports error filtering, ByRequest email vs printed output, Customer Master CUSP_FLAGS, OSR update ticket, MC_SUMMARY nightly rebuild, JOB_MASTER schemas, DATE_CLOSED 1/1/1900 open jobs, Jeremy, Rachel, David, PFP"
